clause,document,section,status,justification
5.1.1,EX-SPAP-001,section 3,compliant,
5.1.2.1,EX-SPAP-001,section 3,compliant,
5.1.2.2,EX-SPAP-001,section 3,compliant,
5.1.2.3,EX-SPAP-001,section 3,compliant,
5.1.3.1,EX-SPAP-001,section 3,compliant,
5.1.3.2,EX-SPAP-001,section 3,compliant,
5.1.4.1,EX-SPAP-001,section 3,compliant,
5.1.4.2,EX-SPAP-001,section 3,compliant,
5.1.5.1,EX-SPAP-001,section 3,compliant,
5.1.5.2,EX-SPAP-001,section 3,compliant,
5.1.5.3,EX-SPAP-001,section 3,compliant,
5.1.5.4,EX-SPAP-001,section 3,compliant,
5.2.1.1,EX-SPAP-001,section 4.1,compliant,
5.2.1.2,EX-SPAP-001,section 4.1,compliant,
5.2.1.3,EX-SPAP-001,section 4.1,compliant,
5.2.1.4,EX-SPAP-001,section 4.1,compliant,
5.2.1.5,EX-SPAP-001,section 4.1,compliant,
5.2.2.1,EX-SPAR-2026-Q3,section 1,compliant,
5.2.2.2,EX-SPAR-2026-Q3,section 1,compliant,
5.2.2.3,EX-SPAR-2026-Q3,section 1,compliant,
5.2.3,EX-SPAP-001,section 4.3,compliant,
5.2.4,,,compliant,alert handling follows the company procedure
5.2.5.1,EX-SPR-LOG,section 1,compliant,
5.2.5.2,EX-SPR-LOG,section 1,compliant,
5.2.5.3,EX-SPR-LOG,section 1,compliant,
5.2.5.4,EX-SPR-LOG,section 1,compliant,
5.2.6.1,EX-SPAP-001,section 4.6,compliant,
5.2.6.2,EX-SPAP-001,section 4.6,compliant,
5.2.7.1,EX-SPAP-001,section 5,compliant,
5.2.7.2,EX-SPAP-001,section 5,compliant,
5.3.1,EX-SPAP-001,section 6,compliant,
5.3.2.1,EX-SPAP-001,section 6,compliant,
5.3.2.2,EX-SPAP-001,section 6,compliant,
5.4.1.1,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.1.2,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.2.1,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.2.2,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.3.1,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.3.2,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.3.3,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.3.4,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.4,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.4.5,EX-SPAP-001,section 7,not-applicable,no software subcontractor on this project
5.5.1,EX-SDP-001,section 6.1,compliant,
5.5.2,EX-SDP-001,section 6.2,compliant,
5.5.3,EX-SDP-001,section 6.3,compliant,
5.5.4,EX-SDP-001,section 6.4,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 6.4, evidence expected at CDR"
5.5.5,EX-SDP-001,section 6.4,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 6.4, evidence expected at CDR"
5.5.6,EX-SDP-001,section 6.4,partially-compliant,"activity falls after PDR; planned in EX-SDP-001 6.4, evidence expected at CDR"
5.6.1.1,EX-SDP-001,section 7,compliant,
5.6.1.2,EX-SDP-001,section 7,compliant,
5.6.1.3,EX-SDP-001,section 7,compliant,
5.6.2.1,EX-SDP-001,section 7,compliant,
5.6.2.2,EX-SDP-001,section 7,compliant,
5.6.2.3,EX-SDP-001,section 7,compliant,
5.7.1,EX-SPAP-001,section 9,compliant,
5.7.2.1,EX-SPAP-001,section 9,compliant,
5.7.2.2,EX-SPAP-001,section 9,compliant,
5.7.2.3,EX-SPAP-001,section 9,compliant,
5.7.2.4,EX-SPAP-001,section 9,compliant,
5.7.3.1,EX-SPAP-001,section 9,compliant,
5.7.3.2,EX-SPAP-001,section 9,compliant,
5.7.3.3,EX-SPAP-001,section 9,compliant,
6.1.1,EX-SDP-001,section 2,compliant,
6.1.2,EX-SDP-001,section 2,compliant,
6.1.3,EX-SDP-001,,compliant,
6.1.4,EX-SDP-001,section 2,compliant,
6.1.5,EX-SDP-001,section 2,compliant,
6.2.1.1,EX-SDP-001,section 3,compliant,
6.2.1.2,EX-SDP-001,section 3,compliant,
6.2.1.3,EX-SDP-001,section 3,compliant,
6.2.1.4,EX-SDP-001,section 3,compliant,
6.2.1.5,EX-SDP-001,section 3,compliant,
6.2.1.6,EX-SDP-001,section 3,compliant,
6.2.1.7,EX-SDP-001,section 3,compliant,
6.2.1.8,EX-SDP-001,section 3,compliant,
6.2.1.9,EX-SDP-001,section 3,compliant,
6.2.2.1,EX-DSA-001,section 2,compliant,
6.2.2.2,EX-DSA-001,section 3,compliant,
6.2.2.3,EX-DSA-001,section 2.2,compliant,
6.2.2.4,EX-DSA-001,section 3.2,compliant,
6.2.2.5,EX-DSA-001,section 4,partially-compliant,software-level analysis refined at CDR; preliminary results in EX-DSA-001 4
6.2.2.6,EX-DSA-001,section 4,partially-compliant,software-level analysis refined at CDR; preliminary results in EX-DSA-001 4
6.2.2.7,EX-DSA-001,section 4,partially-compliant,software-level analysis refined at CDR; preliminary results in EX-DSA-001 4
6.2.2.8,EX-DSA-001,section 4,partially-compliant,software-level analysis refined at CDR; preliminary results in EX-DSA-001 4
6.2.2.9,EX-DSA-001,section 4,partially-compliant,software-level analysis refined at CDR; preliminary results in EX-DSA-001 4
6.2.2.10,EX-DSA-001,section 4,partially-compliant,software-level analysis refined at CDR; preliminary results in EX-DSA-001 4
6.2.3.2,EX-SPAP-001,section 8.1,compliant,
6.2.3.3,EX-SPAP-001,section 8.2,compliant,
6.2.3.4,EX-SPAP-001,section 8.3,compliant,
6.2.3.5,EX-SPAP-001,section 8.4,compliant,
6.2.3.6,EX-SPAP-001,section 8.5,partially-compliant,"activity falls after PDR; planned in EX-SPAP-001 8.5, evidence expected at CDR"
6.2.3.7,EX-SPAP-001,section 8.5,partially-compliant,"activity falls after PDR; planned in EX-SPAP-001 8.5, evidence expected at CDR"
6.2.3.8,EX-SPAP-001,section 8.5,partially-compliant,"activity falls after PDR; planned in EX-SPAP-001 8.5, evidence expected at CDR"
6.2.4.1,EX-SCMP-001,section 2,compliant,
6.2.4.2,EX-SCMP-001,section 2,compliant,
6.2.4.2,EX-AUDIT-2026-01,finding F3,not-compliant,internal audit: baseline register not kept current
6.2.4.3,EX-SCMP-001,section 2,compliant,
6.2.4.4,EX-SCMP-001,section 2,compliant,
6.2.4.5,EX-SCMP-001,section 2,compliant,
